시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,시도코드,시도명,시군구코드,시군구명,폐교명,폐교연도,학교급구분명,활용현황구분명,건물연면적,대지,담당자 부서명,담당자 전화번호,소재지도로명주소,소재지지번주소,데이터기준일자,제공기관코드,제공기관명
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,자천초등학교 상송분교장,2007,초등학교,미활용,1355,11376,행정지원과,054-330-2434,경상북도 영천시 화북면 천문로 3034-4,경상북도 영천시 화북면 상송리 42-1,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,신녕서부초등학교,2001,초등학교,미활용,1969,13714,행정지원과,054-330-2434,경상북도 영천시 신녕면 새터길 136,경상북도 영천시 신녕면 부산리 946-1,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,임고초등학교 금대분교장,2002,초등학교,미활용,835,11259,행정지원과,054-330-2434,경상북도 영천시 임고면 운주로 664,경상북도 영천시 임고면 금대리 446-1,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,임고초등학교 수성분교장,2009,초등학교,미활용,600,8096,행정지원과,054-330-2434,경상북도 영천시 임고면 운주로 1530,경상북도 영천시 임고면 수성리 901-2,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,영화초등학교 화덕분교장,2020,초등학교,미활용,1383,21478,행정지원과,054-330-2434,경상북도 영천시 화산면 덕암길 104,경상북도 영천시 화산면 덕암리 548-3,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,영천남부초등학교,2012,초등학교,미활용,1567,41601,행정지원과,054-330-2434,경상북도 영천시 한방로 273-6,경상북도 영천시 작산동 56,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,11,서울특별시,545,금천구,서울흥일초등학교,2015,초등학교,자체활용,4093.7,4865.6,행정지원과,02-2165-2122,서울특별시 영등포구 문래로 121,,2026-06-26,7041000,서울특별시교육청 서울특별시남부교육지원청
7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,11,서울특별시,500,강서구,공진중학교,2020,중학교,자체활용,6792,7052,재정지원과,02-2600-0922,서울특별시 강서구 양천로55길 56,서울특별시 강서구 가양동 1476,2026-05-29,7081300,서울특별시교육청 서울특별시강서양천교육지원청
7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,11,서울특별시,500,강서구,서울염강초등학교,2020,초등학교,자체활용,5162,11076,재정지원과,02-2600-0922,서울특별시 강서구 허준로 221-22,서울특별시 강서구 가양동 1492,2026-05-29,7081300,서울특별시교육청 서울특별시강서양천교육지원청
7010000,서울특별시교육청,7134000,성동광진교육지원청,11,서울특별시,200,성동구,성수공업고등학교,2024,고등학교,자체활용,17427.12,13800,재정지원과,02-2286-3704,서울특별시 성동구 뚝섬로 365,서울특별시 성동구 성수동2가 333-128,2026-06-10,7134000,서울특별시교육청 서울특별시성동광진교육지원청
7010000,서울특별시교육청,7134000,성동광진교육지원청,11,서울특별시,200,성동구,덕수고등학교(행당분교),2024,고등학교,자체활용,20777.27,35128,재정지원과,02-2286-3704,서울특별시 성동구 왕십리로 199,서울특별시 성동구 행당동 70-28,2026-06-10,7134000,서울특별시교육청 서울특별시성동광진교육지원청
7010000,서울특별시교육청,7134000,성동광진교육지원청,11,서울특별시,215,광진구,서울화양초등학교,2023,초등학교,자체활용,3787.32,5583,재정지원과,02-2286-3704,서울특별시 광진구 군자로 9,서울특별시 광진구 화양동 12-2,2026-06-10,7134000,서울특별시교육청 서울특별시성동광진교육지원청
8140000,충청남도교육청,8241000,충청남도교육청 충청남도서천교육지원청,44,충청남도,770,서천군,문산초등학교,2025,초등학교,자체활용,2035,16511,행정과,041-950-6072,충청남도 서천군 문산면 신농길 26-29,충청남도 서천군 문산면 신농리 21-1,2026-06-15,8241000,충청남도교육청 충청남도서천교육지원청
8140000,충청남도교육청,8241000,충청남도교육청 충청남도서천교육지원청,44,충청남도,770,서천군,서남초등학교,2025,초등학교,자체활용,2633,26294,행정과,041-950-6072,충청남도 서천군 마서면 마서로 260-12,충청남도 서천군 마서면 봉남리 255,2026-06-15,8241000,충청남도교육청 충청남도서천교육지원청
8140000,충청남도교육청,8241000,충청남도교육청 충청남도서천교육지원청,44,충청남도,770,서천군,종천초등학교,1998,초등학교,자체활용,1100.8,10010,행정과,041-950-6072,충청남도 서천군 종천면 종천화산길 21-24,충청남도 서천군 종천면 화산리 191-2,2026-06-15,8241000,충청남도교육청 충청남도서천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,영천중앙초등학교 화남분교장,2026,초등학교,미활용,1295,13744,행정지원과,054-330-2434,경상북도 영천시 화남면 천문로 1224,경상북도 영천시 화남면 사천리 1238,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8921000,경상북도고령교육지원청,47,경상북도,830,고령군,백산초등학교,2013,초등학교,자체활용,2014,15343,행정지원과,054-950-2565,경상북도 고령군 쌍림면 영서로 3184,경상북도 고령군 쌍림면 백산리 163,2026-01-12,8921000,경상북도교육청 경상북도고령교육지원청
8750000,경상북도교육청,8921000,경상북도고령교육지원청,47,경상북도,830,고령군,운수초등학교화암분교장,1994,초등학교,미활용,862,9796,행정지원과,054-950-2565,경상북도 고령군 운수면 법승길 18-26,경상북도 고령군 운수면 화암리 1163,2026-01-12,8921000,경상북도교육청 경상북도고령교육지원청
8750000,경상북도교육청,8921000,경상북도고령교육지원청,47,경상북도,830,고령군,우곡초등학교도진분교장,2013,초등학교,미활용,758,10192,행정지원과,054-950-2565,경상북도 고령군 우곡면 도진3길 26-13,경상북도 고령군 우곡면 도진리 270,2026-01-12,8921000,경상북도교육청 경상북도고령교육지원청
8750000,경상북도교육청,8921000,경상북도고령교육지원청,47,경상북도,830,고령군,개진초등학교영동분교장,2008,초등학교,미활용,989,8410,행정지원과,054-950-2565,경상북도 고령군 개진면 개경포로 1534,경상북도 고령군 개진면 생리 251,2026-01-12,8921000,경상북도교육청 경상북도고령교육지원청
9010000,경상남도교육청,9081000,사천교육지원청,48,경상남도,240,사천시,사동초등학교,1999,초등학교,대부,977.19,6847,교육재정담당,055-830-1579,경상남도 사천시 사천읍 웅동안길 13-7,경상남도 사천시 사천읍 두량리 260,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,도원초등학교,1999,초등학교,대부,903,8869,교육재정담당,055-650-8085,경상남도 통영시 도산면 남해안대로 2054,경상남도 통영시 도산면 원산리 933,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,사량초등학교읍덕분교장,2012,초등학교,대부,780,7984,교육재정담당,055-650-8085,경상남도 통영시 사량면 하도일주로 261-40,경상남도 통영시 사량면 읍덕리 366-1,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,산양초등학교연명분교장,1992,초등학교,대부,669,3732,교육재정담당,055-650-8085,경상남도 통영시 산양읍 연명길 140,경상남도 통영시 산양읍 연화리 1124,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,산양초등학교화양분교장,2007,초등학교,대부,1083,10511,교육재정담당,055-650-8085,경상남도 통영시 산양읍 논아랫개길 4,경상남도 통영시 산양읍 신전리 889,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,수월초등학교,1999,초등학교,대부,1128,6340,교육재정담당,055-650-8085,경상남도 통영시 도산면 수월1길 33,경상남도 통영시 도산면 수월리 886-1,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,욕지초등학교도덕분교장,2005,초등학교,대부,0,6851,교육재정담당,055-650-8085,경상남도 통영시 욕지면 도동길 78,경상남도 통영시 욕지면 서산리 644,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9071000,통영교육지원청,48,경상남도,220,통영시,충렬초등학교대평분교장,1991,초등학교,대부,362,8694,교육재정담당,055-650-8085,경상남도 통영시 평인일주로 832-23,경상남도 통영시 평림동 495,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9171000,남해교육지원청,48,경상남도,840,남해군,북창선초등학교,1999,초등학교,대부,1343,7849,교육재정담당,055-860-4184,경상남도 남해군 창선면 서부로 1455-10,경상남도 남해군 창선면 대벽리 277,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9131000,함안교육지원청,48,경상남도,730,함안군,군북초등학교수곡분교장,1995,초등학교,대부,786,9784,교육재정담당,055-580-8072,경상남도 함안군 군북면 삼방로 342,경상남도 함안군 군북면 수곡리 175,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9131000,함안교육지원청,48,경상남도,730,함안군,문현초등학교,1997,초등학교,대부,1313,15174,교육재정담당,055-580-8072,경상남도 함안군 법수면 장백로 891,경상남도 함안군 법수면 대송리 1110,2025-12-01,9010000,경상남도교육청
9010000,경상남도교육청,9131000,함안교육지원청,48,경상남도,730,함안군,군북초등학교사촌분교장,1999,초등학교,대부,449,13842,교육재정담당,055-580-8072,경상남도 함안군 군북면 의산삼일로 1780,경상남도 함안군 군북면 사촌리 862,2025-12-01,9010000,경상남도교육청
8000000,충청북도교육청,8071000,영동교육지원청,43,충청북도,740,영동군,상촌초 물한분교,1991,초등학교,자체활용,790,13587,행정과,043-740-7783,충청북도 영동군 상촌면 물한4길 8,충청북도 영동군 상촌면 물한리  643,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,증약초 대정분교,2025,초등학교,미활용,984,16246,행정과,043-730-4332,충청북도 옥천군 군북면 방아실길 3-2,충청북도 옥천군 군북면 대정리 577,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,청성초 화성분교,1999,초등학교,미활용,786,9926,행정과,043-730-4332,충청북도 옥천군 청성면 남부로 2848,충청북도 옥천군 청성면 화성리 295-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,청동초,1999,초등학교,대부,40,13599,행정과,043-730-4332,충청북도 옥천군 청산면 남부로 1916-19,충청북도 옥천군 청산면 효목리 675-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,청성초 묘금분교,2000,초등학교,대부,1291,9604,행정과,043-730-4332,충청북도 옥천군 청성면 묘금3길 11,충청북도 옥천군 청성면 묘금리 19-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,청산초 대월분교,1995,초등학교,대부,71,10092,행정과,043-730-4332,충청북도 옥천군 청산면 청산관기로 507,충청북도 옥천군 청산면 대성리 173-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,이원초 지탄분교,2012,초등학교,대부,971,11892,행정과,043-730-4332,충청북도 옥천군 이원면 지탄1길 76,충청북도 옥천군 이원면 지탄리 734-5,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,안내초 용촌분교,1995,초등학교,미활용,651,9379,행정과,043-730-4332,충청북도 옥천군 안내면 용촌차정로 12,충청북도 옥천군 안내면 용촌리 160,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,동이중,1998,중학교,대부,1339,22491,행정과,043-730-4332,충청북도 옥천군 동이면 적하길 23,충청북도 옥천군 동이면 적하리 672,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8061000,옥천교육지원청,43,충청북도,730,옥천군,죽향초 군북분교,1994,초등학교,자체활용,365,12253,행정과,043-730-4332,충청북도 옥천군 군북면 성왕로 1840,충청북도 옥천군 군북면 소정리 245,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,보은정보고,2025,고등학교,자체활용,6022,32754,행정과,043-540-5534,충청북도 보은군 보은읍 성주길 27,충청북도 보은군 보은읍 성주리 171-2,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,관기초 소여분교,1995,초등학교,미활용,574,7940,행정과,043-540-5534,충청북도 보은군 마로면 소여2길 3,충청북도 보은군 마로면 소여리 470-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,회남초 분저분교,1992,초등학교,미활용,586,9461,행정과,043-540-5534,충청북도 보은군 회남면 안내회남로 1426,충청북도 보은군 회남면 분저리 71,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,(구)내북초,2013,초등학교,미활용,2045,12414,행정과,043-540-5534,충청북도 보은군 내북면 남부로 6225-19,충청북도 보은군 내북면 동산리 119,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,관기초 적암분교,1995,초등학교,미활용,572,3880,행정과,043-540-5534,충청북도 보은군 마로면 적암길 17,충청북도 보은군 마로면 적암리 149,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,삼산초 중초분교,1999,초등학교,대부,1145,13430,행정과,043-540-5534,충청북도 보은군 보은읍 중초길 4,충청북도 보은군 보은읍 중초리 408-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,내북초 아곡분교,2002,초등학교,대부,672,12709,행정과,043-540-5534,충청북도 보은군 내북면 남부로 5825-6,충청북도 보은군 내북면 상궁리 46-2,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,내북초 이식분교,1999,초등학교,대부,768,10060,행정과,043-540-5534,충청북도 보은군 산외면 성암가고로 235-6,충청북도 보은군 산외면 이식리 84,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,산외초 산대분교,1992,초등학교,대부,840,13828,행정과,043-540-5534,충청북도 보은군 산외면 내북산외로 787-10,충청북도 보은군 산외면 산대리 118-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,산외초 장갑분교,2002,초등학교,대부,1302,11448,행정과,043-540-5534,충청북도 보은군 산외면 속리산로 1770,충청북도 보은군 산외면 장갑리 318,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,탄부초 사직분교,2002,초등학교,대부,1189,15908,행정과,043-540-5534,충청북도 보은군 탄부면 사직1길 13,충청북도 보은군 탄부면 사직리 151-3,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,관기초 기대분교,1994,초등학교,대부,0,10779,행정과,043-540-5534,충청북도 보은군 마로면 기대리 328-2,충청북도 보은군 마로면 기대리 328-2,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,(구)북암초,1981,초등학교,대부,273,6609,행정과,043-540-5534,충청북도 보은군 속리산면 북암1길 14-1,충청북도 보은군 속리산면 북암리 318,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8051000,보은교육지원청,43,충청북도,720,보은군,동광초 학림분교,2003,초등학교,자체활용,519,18234,행정과,043-540-5534,충청북도 보은군 보은읍 중동3길 16,충청북도 보은군 보은읍 중동리 9-1,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8031000,제천교육지원청,43,충청북도,150,제천시,금성초 장선분교,1996,초등학교,미활용,378,7279,행정과,043-640-6633,충청북도 제천시 청풍면 인등로 1403-1,충청북도 제천시 청풍면 장선리 98,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8031000,제천교육지원청,43,충청북도,150,제천시,유덕초,1999,초등학교,미활용,1079,10206,행정과,043-640-6633,충청북도 제천시 덕산면 월악로 2235,충청북도 제천시 덕산면 신현리 606,2025-12-01,8000000,충청북도교육청
8000000,충청북도교육청,8031000,제천교육지원청,43,충청북도,150,제천시,한수중,1998,중학교,미활용,1201,11044,행정과,043-640-6633,충청북도 제천시 한수면 미륵송계로6길 42-2,충청북도 제천시 한수면 송계리 309-1,2025-12-01,8000000,충청북도교육청
8490000,전라남도교육청,8511000,여수교육지원청,46,전라남도,130,여수시,여안초여남중안도분교장,2020,중학교,대부,0,641,재정과,061-260-0792,전라남도 여수시 남면 안도해변길 81,전라남도 여수시 남면 안도리 999-3,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8511000,여수교육지원청,46,전라남도,130,여수시,백초초우두분교장,2013,초등학교,대부,1153,7330,재정과,061-260-0792,전라남도 여수시 돌산읍 상하동길 174,전라남도 여수시 돌산읍 우두리 170,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8721000,신안교육지원청,46,전라남도,910,신안군,안좌초등학교자라분교장,2025,초등학교,미활용,760,8970,재정과,061-260-0792,전라남도 신안군 안좌면 자라도길 37,전라남도 신안군 안좌면 자라리 227,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8521000,순천교육지원청,46,전라남도,150,순천시,황전초회덕분교장,2025,초등학교,미활용,705,15012,재정과,061-260-0792,전라남도 순천시 황전면 삽재팔동길 377,전라남도 순천시 황전면 회룡리 756,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8521000,순천교육지원청,46,전라남도,150,순천시,승주초죽학분교장,2024,초등학교,미활용,649,3847,재정과,061-260-0792,전라남도 순천시 주암면 정골길 51,전라남도 순천시 주암면 어왕리 1,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8521000,순천교육지원청,46,전라남도,150,순천시,주암초어왕분교장,2009,초등학교,미활용,979,8266,재정과,061-260-0792,전라남도 순천시 주암면 정골길 51,전라남도 순천시 주암면 어왕리 1,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8521000,순천교육지원청,46,전라남도,150,순천시,별량초마산분교장,2009,초등학교,미활용,0,8149,재정과,061-260-0792,,전라남도 순천시 별량면 마산리 249-1,2025-11-18,8490000,전라남도교육청
8490000,전라남도교육청,8521000,순천교육지원청,46,전라남도,150,순천시,별량남초등학교,2000,초등학교,대부,1600,11203,재정과,061-260-0792,전라남도 순천시 별량면 대곡길 130,전라남도 순천시 별량면 대곡리 742-1,2025-11-18,8490000,전라남도교육청
7801000,강원특별자치도교육청,7952000,양구교육지원청,51,강원특별자치도,800,양구군,양구초 서호분교장,1991,초등학교,대부,0,4810,행정과,033-480-1432,,강원특별자치도 양구군 양구읍 상무룡1리 828,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7942000,화천교육지원청,51,강원특별자치도,790,화천군,화천초 논미분교장,2024,초등학교,자체활용,617.28,70794,행정과,033-440-1532,,강원특별자치도 화천군 하남면 논미리 275-2,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7942000,화천교육지원청,51,강원특별자치도,790,화천군,상승초 노동분교장,2019,초등학교,미활용,1653,45141,행정과,033-440-1532,,강원특별자치도 화천군 상서면 노동리 504-2,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7942000,화천교육지원청,51,강원특별자치도,790,화천군,대붕초,1999,초등학교,자체활용,1620,11542,행정과,033-440-1532,,강원특별자치도 화천군 화천읍 대이리 98-3,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7942000,화천교육지원청,51,강원특별자치도,790,화천군,간척초,1999,초등학교,대부,827,12027,행정과,033-440-1532,,강원특별자치도 화천군 간동면 간척리 474,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7932000,철원교육지원청,51,강원특별자치도,780,철원군,문혜초 대곡분교장,1995,초등학교,미활용,796.8,6946,행정과,033-450-1033,,강원특별자치도 철원군 갈말읍 문혜리 48-1,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7932000,철원교육지원청,51,강원특별자치도,780,철원군,잠곡초,2006,초등학교,대부,714.88,8262,행정과,033-450-1033,,강원특별자치도 철원군 근남면 잠곡리 451-1,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7932000,철원교육지원청,51,강원특별자치도,780,철원군,정연초,2002,초등학교,자체활용,1724.13,15741,행정과,033-450-1033,,강원특별자치도 철원군 갈말읍 정연리 1161,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,여량초 구절분교장,2013,초등학교,미활용,1047.83,7634,행정과,033-560-8132,,강원특별자치도 정선군 여량면 구절리 276-1,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,남평초 문곡분교장,1993,초등학교,미활용,210.03,2585,행정과,033-560-8132,,강원특별자치도 정선군 남면 문곡리 265-1,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,여량초 자개분교장,1991,초등학교,미활용,0,6767,행정과,033-560-8132,,강원특별자치도 정선군 여량면 구절리 377-1,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,봉양초 덕산분교장,1990,초등학교,미활용,0,2741,행정과,033-560-8132,,강원특별자치도 정선군 정선읍 덕우리 27,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,벽탄초 마항분교장,1981,초등학교,대부,0,5061,행정과,033-560-8132,,강원특별자치도 정선군 정선읍 회동리 819,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,함백여고,2014,고등학교,자체활용,0,9813.02,행정과,033-560-8132,,강원특별자치도 정선군 신동읍 조동리 185,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,함백여중,2014,중학교,자체활용,4290.17,14316,행정과,033-560-8132,,강원특별자치도 정선군 신동읍 조동리 185,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,고한여고,2008,고등학교,자체활용,0,8797.78,행정과,033-560-8132,,강원특별자치도 정선군 고한읍 고한리 80,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,고한여중,2008,중학교,자체활용,8969.95,21638,행정과,033-560-8132,,강원특별자치도 정선군 고한읍 고한리 80,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,남선초 광덕분교장,2005,초등학교,미활용,259.26,6975,행정과,033-560-8132,,강원특별자치도 정선군 남면 광덕리 1058,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,예미초 고성분교장,2013,초등학교,자체활용,0,11260,행정과,033-560-8132,,강원특별자치도 정선군 신동읍 고성리 812,2025-04-29,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7922000,정선교육지원청,51,강원특별자치도,770,정선군,사음초,2013,초등학교,자체활용,3487.17,11255,행정과,033-560-8132,,강원특별자치도 정선군 사북읍 사북리 270,2025-04-29,7801000,강원특별자치도교육청
